Word,Count,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7
lasso,5,lariat,riata,reata,rope (generic term),,,
lasso,5,rope,get (generic term),catch (generic term),capture (generic term),,,
latch,5,door latch,lock (generic term),,,,,
latch,5,catch (generic term),,,,,,
latch,5,fasten (generic term),fix (generic term),secure (generic term),,,,
later,5,future,ulterior,subsequent (similar term),,,,
later,5,late,advanced (similar term),tardive (similar term),early (antonym),,,
later,5,subsequently,afterwards,afterward,after,later on,,
later,5,by and by,,,,,,
latex,5,exudate (generic term),exudation (generic term),,,,,
latex,5,latex paint,rubber-base paint,water-base paint (generic term),,,,
lathe,5,shaper (generic term),shaping machine (generic term),,,,,
lathi,5,lathee,club (generic term),,,,,
latin,5,Latin,Italic,Italic language (related term),,,,
latin,5,Latin,emotional (similar term),,,,,
latin,5,Latin,,,,,,
latin,5,Romance,Latin,Latin (related term),,,,
latin,5,Latin,Italian region (related term),,,,,
latin,5,Latin,Italic (generic term),Italic language (generic term),,,,
latin,5,Latin,inhabitant (generic term),habitant (generic term),dweller (generic term),denizen (generic term),indweller (generic term),
latin,5,Latin,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term),soul (generic term)
latke,5,potato pancake,pancake (generic term),battercake (generic term),flannel cake (generic term),flannel-cake (generic term),flapcake (generic term),flapjack (generic term)
latte,5,caffe latte,espresso (generic term),,,,,
laudo,5,Laudo,mountain peak (generic term),,,,,
laugh,5,laughter,utterance (generic term),vocalization (generic term),,,,
laugh,5,facial expression (generic term),facial gesture (generic term),,,,,
laugh,5,joke,gag,jest,jape,wit (generic term),humor (generic term),humour (generic term)
laugh,5,express joy,express mirth,express emotion (generic term),express feelings (generic term),laugh off (related term),laugh away (related term),laugh at (related term)
laver,5,Laver,Rod Laver,Rodney George Laver,tennis player (generic term),,,
laver,5,basin (generic term),,,,,,
laver,5,red laver,red algae (generic term),,,,,
laver,5,sea lettuce,green algae (generic term),chlorophyte (generic term),,,,
laxly,5,leniently,,,,,,
layby,5,lay-by,pull-off,rest area,rest stop,area (generic term),,
layer,5,bed,sheet (generic term),flat solid (generic term),,,,
layer,5,region (generic term),part (generic term),,,,,
layer,5,level,stratum,place (generic term),,,,
layer,5,hen (generic term),biddy (generic term),,,,,
layer,5,structure (generic term),anatomical structure (generic term),complex body part (generic term),bodily structure (generic term),body structure (generic term),,
layer,5,shape (generic term),form (generic term),work (generic term),mold (generic term),mould (generic term),forge (generic term),
layia,5,Layia,genus Layia,asterid dicot genus (generic term),,,,
layup,5,lay-up,basketball shot (generic term),,,,,
lazar,5,leper,sick person (generic term),diseased person (generic term),sufferer (generic term),,,
lazio,5,Latium,Lazio,Italian region (generic term),,,,
leach,5,leaching,natural process (generic term),natural action (generic term),action (generic term),activity (generic term),,
leach,5,remove (generic term),take (generic term),take away (generic term),withdraw (generic term),,,
leach,5,percolate,trickle (generic term),dribble (generic term),filter (generic term),,,
leach,5,strip,remove (generic term),take (generic term),take away (generic term),withdraw (generic term),,
leafy,5,bifoliate (similar term),bowery (similar term),curly-leaved (similar term),curly-leafed (similar term),fan-leaved (similar term),fan-leafed (similar term),fine-leaved (similar term)
leaky,5,drafty (similar term),draughty (similar term),drippy (similar term),oozing (similar term),oozy (similar term),seeping (similar term),holey (similar term)
leaky,5,incontinent (similar term),,,,,,
leaky,5,blabbermouthed,talebearing,tattling,communicative (similar term),communicatory (similar term),,
learn,5,larn,acquire,,,,,
learn,5,hear,get word,get wind,pick up,find out,get a line,discover
learn,5,memorize,memorise,con,study (generic term),hit the books (generic term),,
learn,5,study,read,take,,,,
learn,5,teach,instruct,inform (generic term),,,,
learn,5,determine,check,find out,see,ascertain,watch,
leary,5,Leary,Tim Leary,Timothy Leary,Timothy Francis Leary,psychologist (generic term),,
lease,5,rental,letting,property (generic term),belongings (generic term),holding (generic term),material possession (generic term),
lease,5,contract (generic term),,,,,,
lease,5,term of a contract,time period (generic term),period of time (generic term),period (generic term),,,
lease,5,rent,contract (generic term),undertake (generic term),,,,
lease,5,rent,hire,charter,contract (generic term),undertake (generic term),,
lease,5,let,rent,give (generic term),rent out (related term),,,
lease,5,rent,hire,charter,engage,take,get (generic term),acquire (generic term)
leash,5,tether,lead,restraint (generic term),constraint (generic term),,,
leash,5,three,3,III,trio,threesome,tierce,troika
leash,5,collar,restraint (generic term),,,,,
leash,5,rope,tie (generic term),bind (generic term),rope in (related term),,,
least,5,most (antonym),,,,,,
least,5,matter (generic term),affair (generic term),thing (generic term),,,,
least,5,to the lowest degree,most (antonym),,,,,
leave,5,leave of absence,time off (generic term),,,,,
leave,5,permission (generic term),,,,,,
leave,5,farewell,leave-taking,parting,departure (generic term),going (generic term),going away (generic term),leaving (generic term)
leave,5,go forth,go away,arrive (antonym),,,,
leave,5,make (generic term),get (generic term),,,,,
leave,5,leave alone,leave behind,refrain (generic term),forbear (generic term),,,
leave,5,exit,go out,get out,move (generic term),enter (antonym),,
leave,5,allow for,allow,provide,yield (generic term),give (generic term),afford (generic term),
leave,5,result,lead,produce (generic term),bring about (generic term),give rise (generic term),,
leave,5,depart,pull up stakes,change (generic term),,,,
leave,5,entrust,pass (generic term),hand (generic term),reach (generic term),pass on (generic term),turn over (generic term),give (generic term)
leave,5,bequeath,will,give (generic term),gift (generic term),present (generic term),disinherit (antonym),
leave,5,have (generic term),,,,,,
leave,5,leave behind,,,,,,
leave,5,impart,give,pass on,tell (generic term),,,
leave,5,forget,lose (generic term),,,,,
ledge,5,shelf,ridge (generic term),,,,,
ledum,5,Ledum,genus Ledum,dilleniid dicot genus (generic term),,,,
leech,5,bloodsucker,hirudinean,annelid (generic term),annelid worm (generic term),segmented worm (generic term),,
leech,5,parasite,sponge,sponger,follower (generic term),,,
leech,5,bleed,phlebotomize,phlebotomise,treat (generic term),care for (generic term),,
leeds,5,Leeds,city (generic term),metropolis (generic term),urban center (generic term),,,
leery,5,mistrustful,suspicious,untrusting,wary,distrustful (similar term),,
lefty,5,left-hander,southpaw,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term)
lefty,5,left-handed pitcher,left-hander,left hander,lefthander,southpaw,pitcher (generic term),hurler (generic term)
legal,5,court-ordered (similar term),judicial (similar term),jural (similar term),juristic (similar term),lawful (similar term),legitimate (similar term),licit (similar term)
legal,5,collection,aggregation,accumulation,assemblage (related term),,,
legal,5,sound,effectual,valid (similar term),,,,
legal,5,learned profession (related term),,,,,,
legal,5,eligible (similar term),,,,,,
leger,5,ledger,account book,book of account,book,record (generic term),,
leger,5,Leger,Fernand Leger,painter (generic term),,,,
leggy,5,tall-growing,tall (similar term),,,,,
leggy,5,long-legged,long-shanked,tall (similar term),,,,
legin,5,legging,leg covering,garment (generic term),,,,
lehar,5,Lehar,Franz Lehar,composer (generic term),,,,
leigh,5,Leigh,Vivien Leigh,actress (generic term),,,,
lemma,5,proposition (generic term),,,,,,
lemma,5,flowering glume,glume (generic term),,,,,
lemma,5,heading (generic term),header (generic term),head (generic term),,,,
lemna,5,Lemna,genus Lemna,monocot genus (generic term),liliopsid genus (generic term),,,
lemon,5,citrus (generic term),citrus fruit (generic term),citrous fruit (generic term),,,,
lemon,5,gamboge,lemon yellow,maize,yellow (generic term),yellowness (generic term),,
lemon,5,lemon tree,Citrus limon,citrus (generic term),citrus tree (generic term),,,
lemon,5,relish (generic term),flavor (generic term),flavour (generic term),sapidity (generic term),savor (generic term),savour (generic term),smack (generic term)
lemon,5,stinker,artifact (generic term),artefact (generic term),,,,
lemur,5,primate (generic term),,,,,,
lendl,5,Lendl,Ivan Lendl,tennis player (generic term),,,,
lenin,5,Lenin,Vladimir Lenin,Nikolai Lenin,Vladimir Ilyich Lenin,Vladimir Ilich Lenin,Vladimir Ilyich Ulyanov,Vladimir Ilich Ulyanov
lense,5,lens,lens system,optical device (generic term),,,,
lento,5,slow (similar term),,,,,,
lento,5,slowly,,,,,,
leo i,5,Leo I,St. Leo I,Leo the Great,pope (generic term),Catholic Pope (generic term),Roman Catholic Pope (generic term),pontiff (generic term)
leo x,5,Leo X,Giovanni de'Medici,pope (generic term),Catholic Pope (generic term),Roman Catholic Pope (generic term),pontiff (generic term),Holy Father (generic term)
leone,5,Sierra Leone monetary unit (generic term),,,,,,
lepas,5,Lepas,genus Lepas,arthropod genus (generic term),,,,
leper,5,lazar,sick person (generic term),diseased person (generic term),sufferer (generic term),,,
leper,5,outcast (generic term),castaway (generic term),pariah (generic term),Ishmael (generic term),,,
leppy,5,dogie,dogy,calf (generic term),,,,
lepus,5,Lepus,constellation (generic term),,,,,
lepus,5,Lepus,genus Lepus,mammal genus (generic term),,,,
lerot,5,dormouse (generic term),,,,,,
letch,5,satyr,lecher,lech,pervert (generic term),deviant (generic term),deviate (generic term),degenerate (generic term)
lethe,5,Lethe,River Lethe,river (generic term),,,,
letup,5,lull,pause (generic term),intermission (generic term),break (generic term),interruption (generic term),suspension (generic term),
levee,5,reception (generic term),,,,,,
levee,5,pier (generic term),wharf (generic term),wharfage (generic term),dock (generic term),,,
levee,5,embankment (generic term),,,,,,
level,5,flat,plane,even (similar term),,,,
level,5,unwavering,steady (similar term),,,,,
level,5,horizontal (similar term),,,,,,
level,5,even (similar term),,,,,,
level,5,tied,even,equal (similar term),,,,
level,5,degree,grade,property (generic term),,,,
level,5,grade,tier,rank (generic term),,,,
level,5,degree,stage,point,state (generic term),,,
level,5,altitude (generic term),height (generic term),,,,,
level,5,spirit level,indicator (generic term),,,,,
level,5,horizontal surface,surface (generic term),,,,,
level,5,floor,storey,story,structure (generic term),construction (generic term),,
level,5,layer,stratum,place (generic term),,,,
level,5,aim (generic term),take (generic term),train (generic term),take aim (generic term),direct (generic term),,
level,5,raze,rase,dismantle,tear down,take down,pull down,destroy (generic term)
level,5,flush,even out,even,change surface (generic term),,,
level,5,charge,point,aim (generic term),take (generic term),train (generic term),take aim (generic term),direct (generic term)
level,5,talk (generic term),speak (generic term),,,,,
level,5,level off,change surface (generic term),,,,,
lever,5,bar (generic term),,,,,,
lever,5,machine (generic term),simple machine (generic term),,,,,
lever,5,lever tumbler,tumbler (generic term),,,,,
lever,5,pry,prise,prize,jimmy,open (generic term),open up (generic term),
levis,5,Levi's,jean (generic term),blue jean (generic term),denim (generic term),,,
lewis,5,Lewis,Jerry Lee Lewis,rock star (generic term),pianist (generic term),piano player (generic term),,
lewis,5,Lewis,Carl Lewis,Frederick Carleton Lewis,sprinter (generic term),jumper (generic term),,
lewis,5,Lewis,Meriwether Lewis,explorer (generic term),adventurer (generic term),,,
lewis,5,Lewis,John L. Lewis,John Llewelly Lewis,labor leader (generic term),,,
lewis,5,Lewis,Sinclair Lewis,Harry Sinclair Lewis,writer (generic term),author (generic term),,
lewis,5,Lewis,C. S. Lewis,Clive Staples Lewis,writer (generic term),author (generic term),,
lexis,5,cognition (generic term),knowledge (generic term),noesis (generic term),,,,
leyte,5,Leyte,Leyte Island,Leyte invasion,amphibious assault (generic term),,,
lhasa,5,Lhasa,Lassa,capital of Tibet,Forbidden City,national capital (generic term),,
lhasa,5,Lhasa,Lhasa apso,terrier (generic term),,,,
li po,5,Li Po,poet (generic term),,,,,
liana,5,vine (generic term),,,,,,
libby,5,Libby,Willard Frank Libby,chemist (generic term),,,,
libel,5,defamation (generic term),calumny (generic term),calumniation (generic term),obloquy (generic term),traducement (generic term),hatchet job (generic term),
libel,5,complaint (generic term),,,,,,
libel,5,defame (generic term),slander (generic term),smirch (generic term),asperse (generic term),denigrate (generic term),calumniate (generic term),smear (generic term)
libra,5,Libra,Balance,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term)
libra,5,Libra,constellation (generic term),,,,,
libra,5,Libra,Libra the Balance,Balance,Libra the Scales,sign of the zodiac (generic term),star sign (generic term),sign (generic term)
libya,5,Libya,Socialist People's Libyan Arab Jamahiriya,African country (generic term),African nation (generic term),,,
lichi,5,litchi,litchi nut,litchee,leechee,lichee,lychee,edible fruit (generic term)
licit,5,illicit (antonym),,,,,,
licit,5,lawful,legitimate,legal (similar term),,,,
lidar,5,measuring instrument (generic term),measuring system (generic term),measuring device (generic term),,,,
liege,5,loyal (similar term),,,,,,
liege,5,vassal,liegeman,liege subject,feudatory,follower (generic term),,
liege,5,liege lord,feudal lord (generic term),seigneur (generic term),seignior (generic term),,,
liege,5,Liege,Luik,city (generic term),metropolis (generic term),urban center (generic term),,
lifer,5,convict (generic term),con (generic term),inmate (generic term),jail bird (generic term),jailbird (generic term),gaolbird (generic term),yard bird (generic term)
ligan,5,lagan,lagend,wreckage (generic term),,,,
liger,5,big cat (generic term),cat (generic term),,,,,
light,5,airy (similar term),buoyant (similar term),floaty (similar term),lighter-than-air (similar term),low-density (similar term),heavy (antonym),
light,5,light-colored,pale (similar term),palish (similar term),pastel (similar term),powdery (similar term),white (related term),dark (antonym)
light,5,light-armed (similar term),lightly-armed (similar term),heavy (antonym),,,,
light,5,heavy (antonym),,,,,,
light,5,fooling (similar term),casual (similar term),heavy (antonym),,,,
light,5,ablaze (similar term),inflamed (similar term),reddened (similar term),autofluorescent (similar term),bioluminescent (similar term),bright (similar term),candescent (similar term)
light,5,unaccented,weak,unstressed (similar term),,,,
light,5,digestible (similar term),,,,,,
light,5,friable,sandy,loose (similar term),,,,
light,5,clean,clear,unclouded,pure (similar term),,,
light,5,lightsome,tripping,light-footed (similar term),,,,
light,5,undemanding (similar term),,,,,,
light,5,easy (similar term),gentle (similar term),soft (similar term),heavy (antonym),,,
light,5,heavy (antonym),,,,,,
light,5,faint,swooning,light-headed,lightheaded,ill (similar term),sick (similar term),
light,5,flimsy,thin (similar term),,,,,
light,5,abstemious,temperate (similar term),,,,,
light,5,scant,short,insufficient (similar term),deficient (similar term),,,
light,5,insignificant (similar term),unimportant (similar term),,,,,
light,5,frivolous (similar term),,,,,,
light,5,idle,frivolous (similar term),,,,,
light,5,light-duty (similar term),,,,,,
light,5,lite,low-cal,calorie-free,nonfat (similar term),fat-free (similar term),fatless (similar term),
light,5,wakeful,shallow (similar term),,,,,
light,5,easy,loose,promiscuous,sluttish,wanton,unchaste (similar term),
light,5,visible light,visible radiation,actinic radiation (generic term),actinic ray (generic term),,,
light,5,light source,source of illumination (generic term),,,,,
light,5,position (generic term),view (generic term),perspective (generic term),,,,
light,5,luminosity,brightness,brightness level,luminance,luminousness,physical property (generic term),
light,5,scene (generic term),,,,,,
light,5,illumination,condition (generic term),status (generic term),,,,
light,5,lightness,visual property (generic term),,,,,
light,5,friend (generic term),,,,,,
light,5,insight (generic term),brainstorm (generic term),brainwave (generic term),,,,
light,5,lighting,illumination (generic term),dark (antonym),,,,
light,5,public knowledge (generic term),general knowledge (generic term),,,,,
light,5,sparkle,twinkle,spark,vitality (generic term),verve (generic term),expression (generic term),look (generic term)
light,5,Inner Light,Light,Light Within,Christ Within,ethical motive (generic term),ethics (generic term),morals (generic term)
light,5,visual signal (generic term),,,,,,
light,5,lighter,igniter,ignitor,device (generic term),,,
light,5,illume,illumine,light up,illuminate,lighten (generic term),lighten up (generic term),
light,5,light up,fire up,ignite (generic term),light (generic term),,,
light,5,alight,perch,land (generic term),set down (generic term),,,
light,5,ignite,burn (generic term),combust (generic term),extinguish (antonym),,,
light,5,fall,fall (generic term),return (generic term),pass (generic term),devolve (generic term),,
light,5,unhorse,dismount,get off,get down,descend (generic term),fall (generic term),go down (generic term)
light,5,lightly,,,,,,
ligne,5,linear unit (generic term),,,,,,
liked,5,likable (similar term),likeable (similar term),disliked (antonym),,,,
liken,5,compare,equate,study (generic term),consider (generic term),,,
lilac,5,lavender,lilac-colored,chromatic (similar term),,,,
lilac,5,shrub (generic term),bush (generic term),,,,,
lille,5,Lille,city (generic term),metropolis (generic term),urban center (generic term),,,
liman,5,lagoon (generic term),laguna (generic term),lagune (generic term),,,,
limax,5,Limax,genus Limax,mollusk genus (generic term),,,,
limbo,5,oblivion,obscurity (generic term),,,,,
limbo,5,imaginary place (generic term),mythical place (generic term),fictitious place (generic term),,,,
limbo,5,imaginary place (generic term),mythical place (generic term),fictitious place (generic term),,,,
limen,5,threshold,sensation (generic term),esthesis (generic term),aesthesis (generic term),sense experience (generic term),sense impression (generic term),sense datum (generic term)
limey,5,John Bull,Englishman (generic term),,,,,
limit,5,bound,boundary,extent (generic term),,,,
limit,5,terminus ad quem,terminal point,end (generic term),ending (generic term),,,
limit,5,demarcation,demarcation line,boundary (generic term),bound (generic term),bounds (generic term),,
limit,5,extremity (generic term),,,,,,
limit,5,limit point,point of accumulation,indefinite quantity (generic term),,,,
limit,5,limitation,indefinite quantity (generic term),,,,,
limit,5,restrict,restrain,trammel,bound,confine,throttle,control (generic term)
limit,5,circumscribe,confine,decrease (generic term),lessen (generic term),minify (generic term),,
limit,5,specify,set,determine,fix,choose (generic term),take (generic term),select (generic term)
limpa,5,rye bread (generic term),,,,,,
linac,5,linear accelerator,accelerator (generic term),particle accelerator (generic term),atom smasher (generic term),,,
lindy,5,lindy hop,social dancing (generic term),,,,,
lined,5,bordered (similar term),,,,,,
lined,5,seamed,rough (similar term),unsmooth (similar term),,,,
lined,5,silk-lined (similar term),unlined (antonym),,,,,
linen,5,fabric (generic term),cloth (generic term),material (generic term),textile (generic term),,,
linen,5,linen paper,paper (generic term),,,,,
linen,5,white goods (generic term),household linen (generic term),,,,,
liner,5,line drive,fly (generic term),fly ball (generic term),,,,
liner,5,lining,piece of cloth (generic term),piece of material (generic term),,,,
liner,5,ocean liner,passenger ship (generic term),,,,,
lingo,5,slang,cant,jargon,argot,patois,vernacular,non-standard speech (generic term)
linin,5,body substance (generic term),,,,,,
links,5,golf links,golf course (generic term),links course (generic term),,,,
linum,5,Linum,genus Linum,plant genus (generic term),,,,
linux,5,Linux,UNIX (generic term),UNIX system (generic term),UNIX operating system (generic term),,,
lipid,5,lipide,lipoid,macromolecule (generic term),supermolecule (generic term),,,
lippi,5,Lippi,Filippino Lippi,old master (generic term),,,,
lippi,5,Lippi,Fra Filippo Lippi,old master (generic term),,,,
lisle,5,fabric (generic term),cloth (generic term),material (generic term),textile (generic term),,,
lisle,5,lisle thread,cotton (generic term),,,,,
liszt,5,Liszt,Franz Liszt,pianist (generic term),piano player (generic term),composer (generic term),,
litas,5,Lithuanian monetary unit (generic term),,,,,,
liter,5,litre,l,cubic decimeter,cubic decimetre,metric capacity unit (generic term),,
lithe,5,lissome,lissom,lithesome,slender,supple,svelte,sylphlike
litre,5,liter,l,cubic decimeter,cubic decimetre,metric capacity unit (generic term),,
liven,5,enliven,liven up,invigorate,animate,stimulate (generic term),arouse (generic term),brace (generic term)
liver,5,liver-colored,colored (similar term),coloured (similar term),colorful (similar term),,,
liver,5,internal organ (generic term),viscus (generic term),,,,,
liver,5,variety meat (generic term),organs (generic term),,,,,
liver,5,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term),soul (generic term),
liver,5,inhabitant (generic term),habitant (generic term),dweller (generic term),denizen (generic term),indweller (generic term),,
livid,5,ashen,blanched,bloodless,white,colorless (similar term),colourless (similar term),
livid,5,light (similar term),,,,,,
livid,5,angry (similar term),,,,,,
livid,5,black-and-blue,injured (similar term),,,,,
llama,5,even-toed ungulate (generic term),artiodactyl (generic term),artiodactyl mammal (generic term),,,,
llano,5,plain (generic term),field (generic term),champaign (generic term),,,,
lloyd,5,Lloyd,Harold Lloyd,Harold Clayton Lloyd,actor (generic term),histrion (generic term),player (generic term),thespian (generic term)
loach,5,cypriniform fish (generic term),,,,,,
loads,5,tons,dozens,heaps,lots,mountain,piles,scores
loamy,5,loamless (antonym),,,,,,
loasa,5,herb (generic term),herbaceous plant (generic term),,,,,
loath,5,loth,reluctant,unwilling (similar term),,,,
loath,5,antipathetic,antipathetical,averse,indisposed,loth,disinclined (similar term),
lobar,5,body part (related term),,,,,,
lobby,5,anteroom,antechamber,entrance hall,hall,foyer,vestibule,room (generic term)
lobby,5,people (generic term),,,,,,
lobby,5,pressure group,third house,political unit (generic term),political entity (generic term),,,
lobby,5,buttonhole,solicit (generic term),beg (generic term),tap (generic term),,,
lobed,5,lobate,compound (similar term),,,,,
local,5,national (antonym),,,,,,
local,5,section (related term),,,,,,
local,5,localized (similar term),localised (similar term),topical (similar term),general (antonym),,,
local,5,public transport (generic term),express (antonym),,,,,
local,5,local anesthetic,local anaesthetic,topical anesthetic,topical anaesthetic,anesthetic (generic term),anaesthetic (generic term),anesthetic agent (generic term)
locke,5,Locke,John Locke,philosopher (generic term),,,,
locum,5,locum tenens,stand-in (generic term),substitute (generic term),relief (generic term),reliever (generic term),backup (generic term),backup man (generic term)
locus,5,venue,locale,scene (generic term),,,,
locus,5,site (generic term),situation (generic term),,,,,
locus,5,set (generic term),,,,,,
lodge,5,Lodge,Sir Oliver Lodge,Sir Oliver Joseph Lodge,physicist (generic term),,,
lodge,5,club,social club,society,guild,gild,order,association (generic term)
lodge,5,gatehouse (generic term),,,,,,
lodge,5,hunting lodge,house (generic term),,,,,
lodge,5,indian lodge,dwelling (generic term),home (generic term),domicile (generic term),abode (generic term),habitation (generic term),dwelling house (generic term)
lodge,5,hostel,hostelry,inn,auberge,hotel (generic term),,
lodge,5,dwell (generic term),live (generic term),inhabit (generic term),,,,
lodge,5,wedge,stick,deposit,fasten (generic term),fix (generic term),secure (generic term),stick out (related term)
lodge,5,charge,file,accuse (generic term),impeach (generic term),incriminate (generic term),criminate (generic term),
lodge,5,accommodate,house (generic term),put up (generic term),domiciliate (generic term),lodge in (related term),,
loess,5,soil (generic term),dirt (generic term),,,,,
loewe,5,Loewe,Frederick Loewe,composer (generic term),,,,
loewi,5,Loewi,Otto Loewi,pharmacologist (generic term),pharmaceutical chemist (generic term),,,
lofty,5,exalted,sublime,grand,high-flown,high-minded,rarefied,rarified
lofty,5,eminent,soaring,towering,high (similar term),,,
lofty,5,gallant,majestic,proud,impressive (similar term),,,
logan,5,Logan,Mount Logan,mountain peak (generic term),,,,
logic,5,philosophy (generic term),,,,,,
logic,5,common sense (generic term),good sense (generic term),gumption (generic term),horse sense (generic term),sense (generic term),mother wit (generic term),
logic,5,principle (generic term),,,,,,
logic,5,logical system,system of logic,system (generic term),system of rules (generic term),,,
logic,5,system (generic term),system of rules (generic term),,,,,
logos,5,Son,Word,Logos,hypostasis (generic term),hypostasis of Christ (generic term),,
lohan,5,Arhat,Arhant,deity (generic term),divinity (generic term),god (generic term),immortal (generic term),
loins,5,pubes,pubic region,area (generic term),region (generic term),,,
loins,5,body part (generic term),,,,,,
loire,5,Loire,Loire River,river (generic term),,,,
lolly,5,boodle,bread,cabbage,clams,dinero,dough,gelt
lolly,5,ice lolly,lollipop,popsicle,frozen dessert (generic term),,,
lonas,5,Lonas,genus Lonas,asterid dicot genus (generic term),,,,
loner,5,lone wolf,lone hand,individualist (generic term),,,,
loofa,5,loofah,luffa,loufah sponge,fiber (generic term),fibre (generic term),,
loony,5,balmy,barmy,bats,batty,bonkers,buggy,cracked
loony,5,crazy,looney,weirdo,lunatic (generic term),madman (generic term),maniac (generic term),
loopy,5,simple closed curve,Jordan curve (related term),,,,,
loopy,5,balmy,barmy,bats,batty,bonkers,buggy,cracked
loose,5,free (similar term),,,,,,
loose,5,friable (similar term),light (similar term),sandy (similar term),shifting (similar term),unfirm (similar term),silty (similar term),unconsolidated (similar term)
loose,5,uncontrolled (similar term),,,,,,
loose,5,baggy (similar term),loose-fitting (similar term),sloppy (similar term),flyaway (similar term),lax (related term),tight (antonym),
loose,5,informal,unofficial (similar term),,,,,
loose,5,free,liberal,inexact (similar term),,,,
loose,5,lax,unconstipated (similar term),regular (similar term),,,,
loose,5,unaffixed,affixed (antonym),,,,,
loose,5,slack,lax (similar term),,,,,
loose,5,open,coarse (similar term),harsh (similar term),,,,
loose,5,insecure (similar term),,,,,,
loose,5,idle,irresponsible (similar term),,,,,
loose,5,unpackaged (similar term),,,,,,
loose,5,phlegmy (similar term),,,,,,
loose,5,at large,escaped,on the loose,free (similar term),,,
loose,5,easy,light,promiscuous,sluttish,wanton,unchaste (similar term),
loose,5,unbound (similar term),,,,,,
loose,5,free,liberate,release,unloose,unloosen,confine (antonym),
loose,5,unleash,let loose,let go of (generic term),let go (generic term),release (generic term),relinquish (generic term),
loose,5,loosen,change (generic term),alter (generic term),modify (generic term),stiffen (antonym),,
loose,5,loosen,relax,weaken (generic term),stiffen (antonym),,,
loose,5,free,,,,,,
lopid,5,gemfibrozil,Lopid,medicine (generic term),medication (generic term),medicament (generic term),medicinal drug (generic term),
lorca,5,Garcia Lorca,Frederico Garcia Lorca,Lorca,poet (generic term),dramatist (generic term),playwright (generic term),
loren,5,Loren,Sophia Loren,Sofia Scicolone,actress (generic term),,,
lorre,5,Lorre,Peter Lorre,Laszlo Lowestein,actor (generic term),histrion (generic term),player (generic term),thespian (generic term)
lorry,5,wagon (generic term),waggon (generic term),,,,,
lorry,5,camion,truck (generic term),motortruck (generic term),,,,
loser,5,also-ran,contestant (generic term),winner (antonym),,,,
loser,5,failure,nonstarter,unsuccessful person,unfortunate (generic term),unfortunate person (generic term),achiever (antonym),
loser,5,gambler (generic term),winner (antonym),,,,,
lossy,5,lossless (antonym),,,,,,
lotic,5,lentic (antonym),,,,,,
lotte,5,goosefish,angler,anglerfish,angler fish,monkfish,allmouth,Lophius Americanus
lotto,5,bingo,beano,keno,board game (generic term),,,
lotus,5,Indian lotus,sacred lotus,Nelumbo nucifera,water lily (generic term),,,
lotus,5,Lotus,genus Lotus,rosid dicot genus (generic term),,,,
lotus,5,white lotus,Egyptian water lily,white lily,Nymphaea lotus,water lily (generic term),,
lough,5,cove (generic term),,,,,,
lough,5,lake (generic term),,,,,,
louis,5,Louis,Joe Louis,Joseph Louis Barrow,prizefighter (generic term),gladiator (generic term),,
loupe,5,jeweler's loupe,hand glass (generic term),simple microscope (generic term),magnifying glass (generic term),,,
louse,5,sucking louse,insect (generic term),,,,,
louse,5,worm,insect,dirt ball,unpleasant person (generic term),disagreeable person (generic term),,
louse,5,plant louse,homopterous insect (generic term),homopteran (generic term),,,,
louse,5,bird louse,biting louse,insect (generic term),,,,
lousy,5,icky,crappy,rotten,stinking,stinky,bad (similar term),
lousy,5,dirty (similar term),soiled (similar term),unclean (similar term),,,,
lousy,5,dirty,filthy,nasty (similar term),awful (similar term),,,
loved,5,admired (similar term),adored (similar term),idolized (similar term),idolised (similar term),worshipped (similar term),beloved (similar term),darling (similar term)
lover,5,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term),soul (generic term),
lover,5,fan,buff,devotee,follower (generic term),,,
lover,5,domestic partner (generic term),significant other (generic term),spousal equivalent (generic term),spouse equivalent (generic term),,,
lovoa,5,Lovoa,genus Lovoa,rosid dicot genus (generic term),,,,
lowan,5,mallee fowl,leipoa,Leipoa ocellata,megapode (generic term),mound bird (generic term),mound-bird (generic term),mound builder (generic term)
lower,5,lower berth,berth (generic term),bunk (generic term),built in bed (generic term),,,
lower,5,take down,let down,get down,bring down,move (generic term),displace (generic term),raise (antonym)
lower,5,lour,devalue (generic term),,,,,
lower,5,depress,change (generic term),alter (generic term),modify (generic term),,,
lower,5,turn down,lour,decrease (generic term),lessen (generic term),minify (generic term),,
lower,5,frown,glower,lour,grimace (generic term),make a face (generic term),pull a face (generic term),
lowly,5,humble,low,modest,small,inferior (similar term),,
lowly,5,junior-grade,inferior,lower-ranking,petty,secondary,subaltern,subordinate
lowly,5,humble,menial,unskilled (similar term),,,,
lowly,5,base,baseborn,humble,lowborn (similar term),,,
lowry,5,Lowry,L. S. Lowry,Laurence Stephen Lowry,painter (generic term),,,
lowry,5,Lowry,Malcolm Lowry,Clarence Malcolm Lowry,writer (generic term),author (generic term),,
loxia,5,Loxia,genus Loxia,bird genus (generic term),,,,
